assignment,condition,date,duration,changes_added,changes_removed
ST21-01,no_memory,2026-07-14,11m 37s,1648,34
ST21-01,memory,2026-07-14,11m 43s,1393,57
ST21-02,no_memory,2026-07-15,23m 35s,2780,220
ST21-02,memory,2026-07-14,53m 15s,2188,74
ST22-01,no_memory,2026-07-17,23m 40s,1885,45
ST22-01,memory,2026-07-23,25m 29s,2943,281
ST22-02,no_memory,2026-07-17,49m 40s,2846,131
ST22-02,memory,2026-07-29,17m 17s,2039,50
ST23-01,no_memory,2026-07-17,29m 54s,2798,293
ST23-01,memory,2026-07-25,17m 3s,2571,42
ST23-02,no_memory,2026-07-25,23m 44s,1957,120
ST23-02,memory,2026-07-28,28m 9s,2262,302
ST24-01,no_memory,2026-07-21,26m 32s,2830,64
ST24-01,memory,2026-07-27,26m 33s,2363,79
ST24-02,no_memory,2026-07-21,18m 39s,2472,32
ST24-02,memory,2026-07-27,14m 24s,2417,35
ST25-01,no_memory,2026-07-21,28m 1s,3121,43
ST25-01,memory,2026-07-27,22m 49s,2520,142
ST25-02,no_memory,2026-07-21,27m 15s,3338,238
ST25-02,memory,2026-07-27,33m 37s,2718,179
WT2122-01,no_memory,2026-07-16,14m 31s,819,108
WT2122-01,memory,2026-07-27,10m 47s,846,20
WT2122-02,no_memory,2026-07-16,19m 23s,3107,62
WT2122-02,memory,2026-07-27,20m 55s,2858,47
WT2223-01,no_memory,2026-07-16,18m 42s,2201,162
WT2223-01,memory,2026-07-28,39m 33s,3499,412
WT2223-02,no_memory,2026-07-16,20m 7s,1912,202
WT2223-02,memory,2026-07-28,12m 20s,1817,25
WT2324-01,no_memory,2026-07-16,21m 12s,2503,62
WT2324-01,memory,2026-07-27,19m 26s,2061,31
WT2324-02,no_memory,2026-07-16,13m 56s,1956,110
WT2324-02,memory,2026-07-25,18m 20s,2390,104
WT2425-01,no_memory,2026-07-16,21m 43s,3468,168
WT2425-01,memory,2026-07-24,44m 37s,4528,326
WT2425-02,no_memory,2026-07-16,27m 12s,3491,146
WT2425-02,memory,2026-07-25,18m 59s,1754,30
WT2526-01,no_memory,2026-07-16,32m 47s,5873,134
WT2526-01,memory,2026-07-23,28m 4s,3700,184
WT2526-02,no_memory,2026-07-16,34m 1s,2835,426
WT2526-02,memory,2026-07-25,28m 17s,3095,657
